Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count total super member accounts balance,Average total super member accounts balance,Median total super member accounts balance
4031,8580,8580,67082,53976,0.85,7332,67160,57709,0.15,1329,-2671,-2364,8580,69863,56442,8580,2755,853,0.08,728,68488,23975,0.08,696,42412,10094,0.82,7000,19861,13451,9804,131418,60802
4032,10126,10126,53791,45337,0.8,8087,57080,50705,0.11,1144,-419,-1628,10126,56051,47334,10126,2233,597,0.07,728,50172,22862,0.07,670,32316,11448,0.77,7758,14778,10165,11318,117506,43486
4034,27356,27356,55214,46468,0.8,21790,58272,51822,0.14,3761,-1634,-1566,27356,57461,48280,27356,2202,634,0.08,2133,60869,22621,0.07,2050,40181,9644,0.76,20862,15598,11022,31033,136995,56442
4035,16059,16059,66781,51059,0.78,12604,67234,55688,0.18,2920,-2181,-2703,16059,69638,53347,16059,2771,712,0.07,1168,96206,31799,0.07,1136,64412,13398,0.77,12296,21702,13848,17394,204632,88094
4036,3956,3956,53891,46770,0.84,3320,55406,51373,0.11,431,-3404,-2460,3956,56016,48761,3956,2106,729,0.08,332,70937,24330,0.08,330,51503,11314,0.8,3154,14158,9905,4644,104794,53742
4037,5055,5055,64250,53134,0.84,4251,65918,57215,0.17,854,-5326,-3640,5055,67031,55547,5055,2746,810,0.08,402,65062,28748,0.08,392,39578,12640,0.81,4074,18738,13504,5557,149313,81981
4051,18088,18088,77276,55630,0.84,15172,72627,59144,0.17,3137,-2764,-2324,18088,80561,58223,18088,3186,864,0.08,1508,120092,26262,0.08,1420,67468,10488,0.81,14611,25850,14172,20624,161230,64428
4053,27693,27693,60446,51155,0.83,22860,63575,56792,0.15,4239,-2716,-2207,27693,62988,53465,27693,2498,793,0.08,2127,69097,24931,0.07,2035,46381,10508,0.79,21862,17328,12668,31687,146765,68643
4054,8301,8301,55272,48471,0.82,6775,59471,54451,0.12,1031,-3771,-2906,8301,57387,50136,8301,2090,680,0.07,595,60572,26049,0.07,570,38514,10630,0.77,6385,15289,11896,9667,130679,69704
4055,12856,12856,62277,51961,0.82,10586,65416,57998,0.15,1976,-3568,-2746,12856,64595,54173,12856,2300,748,0.07,859,59491,23036,0.06,834,35766,9458,0.78,10081,18404,13726,14630,171260,89255
4059,7724,7724,66937,47889,0.84,6498,65360,51076,0.15,1164,-2890,-2182,7724,69798,50010,7724,2771,603,0.1,772,80596,24172,0.09,711,44605,9807,0.77,5911,22236,13001,9047,137253,37574
4060,8465,8465,84196,57925,0.8,6765,79740,60295,0.18,1483,-3410,-2147,8465,87896,60631,8465,3603,845,0.09,757,110327,24565,0.08,714,73955,12024,0.8,6733,29937,16588,9586,204769,82836
4061,10531,10531,70193,51360,0.77,8102,72438,59118,0.17,1762,-2961,-2128,10531,73238,53804,10531,2952,707,0.09,954,73281,24914,0.09,910,39990,10336,0.76,7968,23958,15180,12093,223618,95960
4064,8089,8089,89060,54908,0.82,6605,75946,56657,0.19,1524,-3214,-2286,8089,92951,58000,8089,3717,744,0.1,809,132340,25890,0.1,770,76247,9860,0.81,6530,32847,14758,9385,176642,47096
4065,6233,6233,96834,61073,0.77,4817,84335,62076,0.2,1259,-3048,-2275,6233,101335,64826,6233,4385,872,0.1,633,192868,29390,0.1,594,131505,12040,0.8,4970,36842,18782,7041,241367,97145
4066,11230,11230,71961,49950,0.82,9200,66754,52230,0.15,1714,-2832,-1455,11230,75108,52270,11230,2978,558,0.09,1013,97003,22094,0.08,946,50355,10286,0.77,8683,24587,13438,13161,171885,38427
4067,5192,5192,74492,36639,0.74,3863,63592,37918,0.16,810,-1034,-296,5192,78825,38608,5192,4110,300,0.08,393,152274,21447,0.07,355,76898,11668,0.64,3347,33977,14675,6222,257266,20868
4068,15148,15148,77158,46746,0.76,11545,69619,50172,0.17,2506,291,-1102,15148,80429,49099,15148,3228,490,0.08,1191,131178,22348,0.07,1124,83667,9588,0.74,11139,29776,14104,16923,241337,45672
4069,22133,22133,83319,52316,0.73,16049,78604,57776,0.2,4462,-2988,-1653,22133,87136,54959,22133,3678,670,0.08,1865,114401,25771,0.08,1791,70344,11021,0.74,16365,32421,17127,24487,280998,95471
4070,7146,7146,65107,51214,0.8,5718,67194,58682,0.14,977,-3389,-2838,7146,67853,53634,7146,2655,658,0.08,578,60647,25746,0.08,572,37084,11782,0.76,5423,20918,14375,7872,162513,68306
4073,5660,5660,68873,52430,0.81,4559,71241,59161,0.2,1132,-4263,-2785,5660,71674,55204,5660,2780,784,0.07,401,69978,28496,0.07,388,39237,10417,0.78,4420,22134,14723,6157,185807,87760
4074,15427,15427,60679,48359,0.78,12075,63437,54609,0.18,2788,-2643,-1884,15427,63339,50659,15427,2567,650,0.08,1214,89323,28153,0.08,1169,61788,11490,0.76,11650,18757,12850,17441,178264,70912
4075,14904,14904,69842,51902,0.81,12003,69681,56694,0.16,2416,-2741,-1952,14904,72794,54016,14904,2825,704,0.08,1242,92759,21970,0.08,1170,61917,9997,0.78,11600,22942,13976,16809,178779,66530
4076,2675,2675,47274,41721,0.83,2217,49289,46777,0.11,290,989,0,2675,49220,43597,2675,1870,502,0.09,252,54166,21127,0.08,223,38695,11697,0.75,2013,12001,9009,3333,66551,25438
4077,14469,14469,42509,38367,0.82,11934,44965,42558,0.08,1099,-1335,-1473,14469,44205,40010,14469,1676,446,0.09,1365,57379,24877,0.09,1267,43081,12022,0.72,10471,10057,7552,17250,53134,19299
4078,14564,14564,52536,46840,0.86,12458,55963,51626,0.13,1830,-3943,-3392,14564,54646,48789,14564,2079,689,0.07,982,107928,24685,0.06,941,92831,10903,0.78,11337,13748,10586,16908,90466,42162
4101,16928,16928,69456,47694,0.82,13957,64085,51000,0.17,2810,-1858,-1588,16928,72832,49944,16928,3178,510,0.1,1657,87300,18650,0.09,1492,59184,8614,0.76,12934,24190,12639,20216,138198,27877
4102,5457,5457,53700,42534,0.86,4698,53530,45436,0.13,720,-2253,-2035,5457,55920,44472,5457,2169,449,0.09,479,71147,22650,0.08,440,44494,9973,0.75,4088,15871,10060,6614,86942,20620
4103,9239,9239,57604,45831,0.85,7818,57193,49298,0.13,1215,-897,-1259,9239,59854,47918,9239,2220,517,0.1,909,56272,20500,0.09,827,36192,10432,0.77,7114,16878,11126,10979,107924,32786
4104,4293,4293,73945,50880,0.78,3338,67569,53894,0.17,720,-1314,-1716,4293,77464,53041,4293,3227,662,0.09,366,111371,24234,0.08,338,60313,10990,0.77,3299,26006,14217,4853,204443,59082
4105,8641,8641,62308,49393,0.82,7121,61003,53613,0.14,1185,-2782,-2198,8641,64937,51844,8641,2595,688,0.1,863,74462,20000,0.09,797,46582,9497,0.79,6804,18666,12008,9952,156084,54333
4106,1022,1022,49465,44642,0.84,862,50904,47552,0.09,97,-1439,-2391,1022,51620,46551,1022,2154,636,0.11,113,64562,25300,0.1,105,53373,12932,0.78,795,12632,9124,1247,64079,25385
4107,3932,3932,53383,46322,0.84,3284,57040,51720,0.13,526,-3313,-2478,3932,55440,48444,3932,1961,597,0.1,388,47217,23016,0.09,361,30906,9443,0.77,3043,14344,10874,4603,98147,45877
4108,3636,3636,43825,36576,0.83,3001,45877,40981,0.11,417,-2236,-1559,3636,45688,38353,3636,1776,432,0.09,333,46313,21500,0.08,306,34205,8436,0.7,2563,11646,7947,4271,73196,19934
4109,23150,23150,45579,33000,0.73,16793,46409,38684,0.17,3991,-124,-555,23150,47583,34612,23150,1935,300,0.09,2199,87961,21861,0.09,1981,75544,9621,0.66,15167,14563,8028,27057,106464,18138
4110,6247,6247,48186,42713,0.83,5206,50696,47208,0.11,684,-2699,-2657,6247,50312,44588,6247,2047,611,0.09,577,58665,22873,0.09,552,38809,11118,0.76,4737,12218,9116,7316,68568,28650
4111,650,650,46035,38012,0.84,543,48582,43575,0.14,91,3888,-332,650,47909,40346,650,1804,396,0.08,53,35936,15571,0.09,56,15468,4976,0.68,439,13363,9135,793,106617,31839
4112,4576,4576,53226,40793,0.76,3497,57185,48200,0.18,803,-3060,-2328,4576,55523,42392,4576,2265,440,0.11,507,59114,25397,0.1,470,40274,13139,0.72,3293,16213,10209,4902,112990,35532
4113,18848,18848,45644,35508,0.77,14598,48753,41590,0.15,2794,-2944,-2286,18848,47484,36844,18848,1813,372,0.11,2055,57723,20106,0.1,1841,44551,9198,0.69,12937,13303,8416,20875,94548,21804
4114,12069,12069,39701,37639,0.83,10059,42119,41904,0.05,550,-2336,-1194,12069,41419,39249,12069,1707,510,0.1,1220,42539,29148,0.1,1154,25000,12754,0.72,8714,8658,6847,16502,44270,14768
4115,11802,11802,51603,44560,0.83,9754,55499,50322,0.14,1652,-4160,-3260,11802,53864,46482,11802,2237,642,0.08,993,98972,24406,0.08,928,83548,10782,0.76,8996,13953,10222,13220,100111,42293
4116,15562,15562,48427,40004,0.78,12155,52103,46439,0.17,2625,-3082,-2546,15562,50593,41856,15562,2093,453,0.09,1401,68391,23788,0.08,1283,52026,10280,0.72,11181,13741,9513,16743,93738,28099
4117,854,854,50368,46165,0.86,736,53065,49889,0.09,81,-5316,-4201,854,52594,47968,854,2226,770,0.09,73,53873,33218,0.08,69,34841,15453,0.8,686,12087,9609,956,55846,32139
4118,17571,17571,49417,44682,0.86,15122,51780,48945,0.1,1697,-3694,-2847,17571,51759,46928,17571,2303,781,0.07,1256,57563,27216,0.07,1213,39309,12580,0.79,13800,12213,9364,20497,77847,36030
4119,3763,3763,52625,43109,0.79,2975,54356,49400,0.15,565,-3694,-2942,3763,54803,45275,3763,2125,547,0.12,445,114978,33170,0.11,423,96493,14019,0.76,2857,14701,10024,4154,90317,35091
4120,6368,6368,61109,50024,0.86,5487,59988,52370,0.13,815,-3653,-2283,6368,63483,51854,6368,2341,654,0.09,573,67557,19138,0.08,504,46026,9713,0.8,5093,17723,11781,7343,110191,37182
4121,15704,15704,69166,53653,0.82,12813,69009,57781,0.17,2613,-2692,-1814,15704,72021,55782,15704,2811,770,0.09,1394,79864,25040,0.08,1314,47159,10280,0.79,12467,21859,14402,17764,162069,75132
4122,26614,26614,54594,45123,0.81,21434,57819,50528,0.15,4036,-1474,-1644,26614,56880,46972,26614,2240,600,0.08,2237,77592,21763,0.08,2095,58863,9597,0.75,19964,15768,11031,30348,125760,48297
4123,11625,11625,55438,47037,0.81,9404,58077,52144,0.15,1795,-2224,-2078,11625,57857,49278,11625,2354,658,0.09,1037,70065,24956,0.08,973,52971,12004,0.77,8982,15656,11035,13176,117554,51611
4124,10875,10875,53041,46389,0.84,9111,55880,50761,0.12,1352,-3691,-2952,10875,55517,48476,10875,2405,800,0.08,835,66270,31591,0.08,820,46315,15590,0.79,8580,13723,10220,12694,92771,48195
4125,4331,4331,49459,43033,0.78,3380,52697,48636,0.16,702,-1880,-1462,4331,51902,45462,4331,2390,627,0.08,338,72630,38382,0.08,328,51304,17995,0.75,3263,12903,9576,4977,97104,43635
4127,14905,14905,51627,44713,0.81,12123,54152,49537,0.13,1873,-3107,-2035,14905,53983,46789,14905,2301,677,0.09,1295,73141,31877,0.08,1230,52830,13568,0.76,11398,13752,9854,18224,99131,40090
4128,10252,10252,55059,48064,0.84,8561,58123,52640,0.14,1459,-3320,-2380,10252,57582,50097,10252,2482,774,0.08,789,59117,30717,0.08,769,38252,13800,0.79,8081,14774,10974,11991,109943,51735
4129,3850,3850,51570,47022,0.84,3223,53681,50625,0.11,416,-2745,-1983,3850,54188,49274,3850,2533,794,0.08,321,81190,34245,0.08,312,55390,15269,0.79,3039,13085,10080,4604,83608,42535
4130,5567,5567,60080,47995,0.79,4393,60173,51748,0.17,974,-2105,-2327,5567,62953,50585,5567,2745,720,0.08,463,79123,35104,0.08,445,57764,16908,0.79,4385,17236,11753,6223,133545,58042
4131,5147,5147,44607,41749,0.85,4364,47263,45513,0.07,358,-3967,-2783,5147,46683,43479,5147,2050,620,0.09,452,51508,30050,0.08,425,35333,13774,0.76,3887,10444,8046,6306,55365,22281
4132,12369,12369,44356,42150,0.88,10907,46853,45610,0.05,600,-3762,-2642,12369,46490,44205,12369,2118,740,0.07,820,51584,30002,0.06,778,35231,13416,0.78,9610,9878,7920,15423,46208,21715
4133,9369,9369,48066,43361,0.84,7832,50451,47324,0.08,785,-2784,-1982,9369,50473,45685,9369,2374,718,0.08,764,86732,34446,0.08,720,68493,14596,0.77,7244,11730,8782,10923,69785,31518
4151,11741,11741,71149,53353,0.83,9695,66914,55483,0.14,1702,-2494,-1808,11741,74134,55418,11741,2928,773,0.09,1047,87989,23689,0.08,959,56846,9976,0.8,9445,22813,13564,13304,157995,52899
4152,29119,29119,68675,52108,0.8,23251,68562,56660,0.18,5262,-2552,-2240,29119,71628,54434,29119,2888,748,0.08,2294,84711,25856,0.08,2185,54301,11067,0.78,22842,22110,13823,32719,163033,66727
4153,2795,2795,69028,50488,0.8,2233,64571,54106,0.15,431,-465,-1042,2795,71806,52775,2795,2668,691,0.09,240,99402,29484,0.08,230,65064,12397,0.78,2188,22646,12793,3152,176972,73332
4154,6516,6516,77451,59977,0.83,5408,76512,63290,0.18,1185,-4128,-2539,6516,80635,62218,6516,3142,934,0.08,498,82698,27579,0.07,478,57079,12720,0.82,5329,25295,16324,7190,153384,80026
4155,993,993,98073,52392,0.7,695,67042,47746,0.24,241,2508,2068,993,102388,54829,993,4102,474,0.08,81,143149,26095,0.08,80,88540,14863,0.77,761,39744,17633,1098,312233,87403
4156,2162,2162,80562,52934,0.75,1624,70736,55626,0.24,517,-1787,-859,2162,83740,55322,2162,3125,660,0.08,166,445919,24822,0.07,158,436531,9896,0.77,1665,29847,15877,2353,218588,78222
4157,11950,11950,54222,46642,0.82,9752,56174,51044,0.13,1578,-2476,-1789,11950,56535,48708,11950,2249,656,0.08,929,80659,30451,0.08,917,54872,12737,0.78,9322,14655,10370,13871,119708,53008
4158,2197,2197,55506,48799,0.84,1843,56882,51265,0.14,301,-1886,-2086,2197,57841,50581,2197,2291,720,0.07,156,67920,33214,0.07,149,36350,11029,0.8,1754,14627,10772,2617,118042,54700
4159,8678,8678,57400,46805,0.8,6945,60022,51818,0.14,1224,-2091,-2035,8678,59729,48602,8678,2302,680,0.07,623,65556,30838,0.07,606,44950,11754,0.77,6673,16507,11225,9998,142254,62167
4160,11588,11588,63674,47700,0.79,9156,64681,52502,0.16,1829,-3627,-2550,11588,66401,49860,11588,2665,706,0.07,824,70814,27413,0.07,815,46065,11281,0.76,8844,20113,12254,12992,175322,72212
4161,9696,9696,52031,46238,0.85,8240,54894,50333,0.11,1029,-2941,-2496,9696,54227,48095,9696,2165,723,0.08,751,61663,27877,0.07,725,41393,11610,0.8,7719,13070,9996,11452,104215,50276
4163,9385,9385,66440,44681,0.72,6793,61159,49800,0.16,1490,-1213,-905,9385,69409,46915,9385,2829,585,0.07,675,91841,25141,0.07,657,68544,11518,0.74,6909,22971,11405,10689,207433,64653
4164,9408,9408,60181,48253,0.81,7637,62351,53230,0.14,1303,-2952,-2517,9408,62887,50740,9408,2643,771,0.08,724,69392,32654,0.08,706,44350,13633,0.78,7363,17471,11857,10336,131384,58595
4165,22324,22324,56616,47186,0.8,17859,59561,52462,0.14,3025,-2766,-2505,22324,59267,49364,22324,2609,778,0.07,1610,60269,28304,0.07,1564,39370,13663,0.78,17312,15872,11243,24987,127547,59859
4169,10123,10123,71505,49331,0.82,8268,65130,51791,0.16,1598,-1252,-1764,10123,74837,51806,10123,3216,625,0.09,952,219627,20764,0.08,844,212972,9044,0.78,7862,24619,12706,12442,173889,30168
4170,16690,16690,70673,54639,0.86,14355,69760,57534,0.15,2573,-4319,-2749,16690,73652,56994,16690,2929,873,0.08,1336,98422,21788,0.08,1274,73523,9959,0.82,13766,21619,13874,19398,125625,51395
4171,10733,10733,100047,62795,0.81,8709,87764,64378,0.21,2229,-5134,-3098,10733,104340,65832,10733,4080,1008,0.09,922,133877,26387,0.08,888,82136,10105,0.83,8864,37234,17535,12222,198721,71989
4172,2933,2933,64868,52542,0.86,2527,66150,56840,0.15,437,-5068,-3688,2933,67793,55247,2933,2847,875,0.08,227,48050,20861,0.07,212,29614,9730,0.83,2439,18635,12525,3452,96485,45041
4173,5151,5151,56435,49827,0.85,4397,59382,54121,0.13,676,-3828,-3316,5151,58759,51914,5151,2278,765,0.07,369,56982,26022,0.07,354,36375,9972,0.8,4143,15006,11421,6085,110904,57227
4174,1525,1525,55648,49889,0.87,1321,58198,53676,0.13,192,-3205,-2260,1525,57647,51846,1525,1977,678,0.08,126,82799,30610,0.08,122,62881,14298,0.82,1247,14196,11024,1893,85922,45673
4178,14984,14984,58202,48328,0.82,12353,61243,53250,0.14,2154,-2093,-1608,14984,60563,50352,14984,2315,702,0.08,1179,86637,23000,0.08,1148,69012,10182,0.79,11797,16389,11279,17682,124850,54749
4179,11667,11667,65077,50952,0.81,9396,65747,55388,0.17,1980,-1638,-1808,11667,67775,53043,11667,2622,739,0.08,948,60418,23546,0.08,922,35472,10238,0.78,9131,20136,12823,13688,154830,69550
4183,1202,1202,49090,36476,0.68,819,48633,40077,0.21,248,55,473,1202,51286,37984,1202,2084,476,0.15,179,68143,24395,0.15,175,50257,9807,0.67,809,14368,8050,1484,167912,50016
4184,2626,2626,37812,29398,0.63,1666,41830,36630,0.15,384,518,236,2626,39386,30658,2626,1422,300,0.12,312,51450,21664,0.11,301,36931,10784,0.58,1534,10003,6548,3533,92851,28648
4205,2470,2470,45321,41842,0.81,2013,48796,47331,0.08,198,410,-255,2470,47346,43534,2470,2011,600,0.08,196,58447,23334,0.07,183,44731,12242,0.74,1833,10748,8704,2951,76905,37923
4207,30643,30643,48997,43310,0.83,25335,50765,47124,0.1,3124,-2414,-2014,30643,51423,45481,30643,2360,685,0.07,2291,74350,32156,0.07,2237,55125,14797,0.77,23507,12394,8999,36552,79722,33923
4208,12091,12091,55063,47999,0.84,10138,57436,52090,0.12,1466,-3029,-2582,12091,58021,50502,12091,2855,1000,0.08,1012,75771,28894,0.08,982,57689,14142,0.8,9656,14517,10828,13401,87483,44315
4209,31230,31230,51052,43577,0.86,26750,53067,47170,0.08,2622,-4121,-2955,31230,53783,45964,31230,2684,892,0.09,2666,55744,26492,0.08,2544,37669,11654,0.78,24374,13229,8910,34571,62877,28403
4210,12225,12225,55093,45413,0.81,9912,56920,49758,0.13,1599,-2889,-2331,12225,57855,47951,12225,2665,903,0.1,1221,63372,28897,0.1,1169,44663,12582,0.79,9624,14881,10044,13795,89027,41289
4211,36167,36167,50236,42128,0.79,28683,51784,46451,0.12,4343,-2342,-1873,36167,52834,44295,36167,2540,803,0.11,3896,68256,29280,0.1,3713,48142,12870,0.76,27497,13197,8725,41831,86991,36356
4212,17824,17824,62385,44274,0.72,12879,60242,48886,0.16,2902,-2853,-2093,17824,65546,46824,17824,3039,638,0.09,1617,85541,30212,0.09,1552,62479,12507,0.75,13284,20355,10716,19724,174078,48620
4213,17775,17775,54120,41809,0.76,13486,54799,46064,0.15,2648,-1718,-1540,17775,56954,44343,17775,2742,715,0.11,1931,78748,29520,0.1,1856,55767,12874,0.75,13275,15683,9599,20040,107947,43219
4214,22288,22288,50037,40426,0.77,17217,52024,44940,0.13,2926,-1966,-1858,22288,52539,42364,22288,2450,625,0.1,2298,68794,30020,0.1,2186,46083,12302,0.73,16368,13874,8746,25758,95426,35099
4215,28399,28399,47225,37440,0.78,22241,46903,41612,0.11,3061,27,-934,28399,49602,39308,28399,2288,518,0.11,2991,63456,24022,0.1,2755,43828,10533,0.72,20386,13255,7575,34737,86065,21357
4216,22190,22190,56086,40693,0.7,15483,54347,45796,0.16,3449,664,-934,22190,59044,43014,22190,2820,560,0.1,2154,79070,27855,0.09,2044,56487,13333,0.72,16010,17813,9280,25211,165000,44910
4217,27173,27173,58955,37000,0.71,19394,50285,38906,0.15,3975,1320,-390,27173,62031,39023,27173,2924,416,0.11,2961,90122,24701,0.1,2649,67367,11584,0.71,19251,20833,8356,34346,152338,17703
4218,21574,21574,61407,41904,0.73,15698,54972,45250,0.17,3597,-730,-631,21574,65396,44330,21574,3693,632,0.12,2510,96601,28266,0.11,2332,73824,12398,0.75,16152,20300,9359,25377,144294,33392
4220,20174,20174,55098,42170,0.76,15302,55130,46290,0.16,3215,-950,-1060,20174,58132,44792,20174,2943,810,0.12,2387,73500,27734,0.11,2264,51208,12601,0.76,15280,15929,9378,23407,121050,41857
4221,16567,16567,54571,41349,0.76,12573,53775,45552,0.16,2705,-1454,-1363,16567,57408,43658,16567,2721,803,0.11,1881,71574,28281,0.11,1810,45573,12400,0.75,12409,15960,9184,19314,115456,43328
4223,8953,8953,55045,41352,0.73,6559,53889,46001,0.17,1497,-133,-531,8953,58004,43796,8953,2824,717,0.13,1143,80127,29073,0.12,1093,57397,11822,0.74,6605,16474,9119,10293,134503,48242
4224,4054,4054,54872,42735,0.78,3167,52539,45491,0.15,595,-1106,-1084,4054,57635,45083,4054,2714,836,0.13,533,104023,25968,0.12,504,82315,10864,0.77,3136,15350,8667,4814,112243,39306
4225,4909,4909,50284,37424,0.72,3513,48199,40891,0.15,754,676,33,4909,53320,39681,4909,2790,594,0.12,583,64641,23322,0.11,540,40340,10380,0.72,3518,14435,7846,5913,159603,32844
4226,20854,20854,51330,40965,0.75,15606,52732,45556,0.13,2791,-1653,-1547,20854,54004,43112,20854,2571,634,0.11,2230,92581,27168,0.1,2097,72018,11543,0.73,15218,14622,9090,23261,111552,36563
4227,12756,12756,52317,42344,0.81,10271,53384,46257,0.13,1607,-2763,-2391,12756,54851,44456,12756,2477,760,0.11,1459,58863,24960,0.11,1385,36923,11237,0.75,9589,14628,9235,14306,79521,33052
4228,3386,3386,56442,40828,0.71,2388,55970,44999,0.19,646,49,-481,3386,59300,43193,3386,2795,659,0.13,436,70779,34062,0.12,416,48291,13116,0.73,2480,17522,9838,3734,129027,50265
4230,196,196,58310,45991,0.63,124,64842,50847,0.19,38,1976,-1394,196,60325,48346,196,2009,698,0.12,24,104986,34350,0.12,24,86883,20030,0.74,146,18081,9944,198,147720,59388
4270,2434,2434,53978,45008,0.78,1896,56768,50028,0.15,375,-1134,-1626,2434,56575,47404,2434,2533,702,0.11,266,78871,37797,0.11,260,58485,16479,0.78,1896,14520,10413,2833,99689,50377
4271,794,794,50173,39762,0.68,538,56647,46642,0.16,130,-576,-416,794,52900,41300,794,2637,550,0.13,105,64297,27961,0.13,100,46740,13481,0.69,551,14872,9299,1039,170833,52802
4272,3587,3587,49423,36334,0.64,2304,53271,43692,0.18,659,1114,-60,3587,51966,37788,3587,2394,423,0.14,510,62081,29160,0.14,488,44461,14928,0.67,2387,15430,9236,3913,164710,60887
4275,1992,1992,50161,41847,0.74,1480,53901,46809,0.15,308,12,-909,1992,53068,44076,1992,2531,696,0.12,230,64341,29211,0.12,233,47174,15551,0.74,1473,13643,9849,2332,126984,49733
4280,9864,9864,52520,46214,0.83,8195,55884,51133,0.12,1198,-3593,-2812,9864,55195,48588,9864,2587,880,0.08,785,71015,31754,0.08,768,52344,17622,0.78,7743,13585,10410,11507,86149,46329
4285,10746,10746,49094,41596,0.79,8506,52033,47002,0.13,1346,-1944,-1786,10746,51752,43894,10746,2399,698,0.09,968,80647,31246,0.09,942,63308,18200,0.74,7958,13113,9377,12417,99114,46709
4287,383,383,42176,34840,0.69,264,47416,42448,0.12,46,974,1894,383,47169,37391,383,2062,431,0.15,58,77851,21176,0.15,56,71785,20840,0.65,250,11569,7811,440,110861,46445
4300,32641,32641,53866,47877,0.88,28732,56738,52180,0.11,3548,-4537,-3322,32641,56267,50136,32641,2363,838,0.07,2249,58452,26294,0.07,2149,40238,12737,0.8,26103,13923,10626,37195,81760,39820
4301,14994,14994,45697,42826,0.89,13293,48181,46606,0.06,838,-3622,-2494,14994,47854,45072,14994,2137,751,0.06,917,50471,26615,0.06,888,34720,13734,0.78,11647,10547,8417,17771,59655,26250
4303,1609,1609,41438,39737,0.84,1356,44717,44448,0.07,113,-3314,-2252,1609,43296,41789,1609,1858,576,0.06,102,45381,23001,0.06,97,34729,11859,0.72,1164,9466,7600,2251,58481,21444
4304,8518,8518,46925,43278,0.84,7189,50300,47774,0.08,687,-2860,-2061,8518,49014,44926,8518,2066,671,0.06,528,57837,25044,0.06,511,40722,12307,0.76,6457,11479,8963,10609,88963,37315
4305,32468,32468,49720,44916,0.85,27615,52891,49540,0.1,3264,-2940,-2163,32468,51849,46908,32468,2098,759,0.06,1899,59254,24298,0.06,1837,41539,13407,0.77,24981,12512,9774,38823,103521,45916
4306,21232,21232,56406,48824,0.83,17639,59863,54182,0.15,3202,-2906,-2186,21232,58989,51115,21232,2484,844,0.08,1657,77313,28720,0.08,1645,59160,16807,0.78,16621,15565,11727,24061,131736,64418
4307,904,904,46915,41439,0.77,694,52558,47314,0.11,103,-878,-124,904,49609,44275,904,2191,634,0.12,109,80367,36289,0.12,106,74971,28426,0.71,642,12918,9619,1030,128048,56720
4309,1657,1657,44190,37636,0.73,1217,48771,44591,0.13,220,-185,180,1657,47268,39285,1657,2178,485,0.12,193,60898,28585,0.12,191,54210,22025,0.69,1151,12156,8499,1875,120028,54768
4310,3282,3282,42924,35950,0.72,2374,47086,41210,0.13,415,26,-139,3282,45018,37020,3282,1711,366,0.12,393,98099,33008,0.12,379,84039,23340,0.69,2260,11501,7624,3722,129928,56322
4311,4847,4847,45072,40111,0.79,3805,49942,46220,0.11,519,-1510,-1287,4847,47403,42003,4847,2159,608,0.07,354,77091,33662,0.07,361,64075,24017,0.72,3496,11406,8768,5805,81462,37972
4312,1260,1260,46273,35898,0.71,900,48721,44674,0.13,164,694,-100,1260,48712,38011,1260,2177,496,0.1,126,80774,33448,0.1,120,77124,26318,0.64,812,14703,8634,1489,121472,50072
4313,1027,1027,39417,35332,0.68,698,47388,42098,0.14,140,-138,-171,1027,42481,37423,1027,2142,440,0.16,162,71385,26534,0.16,160,64904,23304,0.63,652,11045,7797,1231,115894,44999
4340,2862,2862,46077,39919,0.77,2210,52284,47424,0.12,356,-1754,-960,2862,48557,42284,2862,2202,665,0.11,315,48120,23691,0.11,321,41976,19680,0.71,2043,12501,9105,3223,114552,56424
4341,7370,7370,46905,41258,0.8,5897,51294,47217,0.11,840,-2149,-1464,7370,49242,43315,7370,2239,644,0.09,631,64823,28626,0.08,619,50310,18681,0.73,5380,12185,9192,8621,87327,43150
4342,1306,1306,45206,37974,0.78,1017,46574,42955,0.12,159,-674,-1499,1306,47701,40158,1306,2057,476,0.08,108,68731,31514,0.08,109,53930,18625,0.71,931,11958,8303,1504,88693,38253
4343,6903,6903,40758,32932,0.82,5688,41091,35931,0.1,693,-1242,-514,6903,42653,34340,6903,1719,348,0.06,447,84729,30673,0.06,438,73326,24437,0.72,4952,10496,6236,8290,78853,16706
4344,1448,1448,46595,41644,0.78,1129,52302,47745,0.14,202,-2246,-1295,1448,48876,43644,1448,2088,509,0.1,144,62709,22040,0.1,142,58690,25194,0.72,1049,12575,8999,1608,96126,46392
4346,537,537,50802,46309,0.8,432,57044,51282,0.15,83,-3674,-2551,537,53326,48566,537,2372,912,0.08,43,96545,30226,0.08,41,71388,13584,0.76,406,13515,9837,607,128396,67435
4347,662,662,44265,38618,0.77,507,47812,45437,0.15,98,238,403,662,46348,40239,662,1623,438,0.09,59,67478,25567,0.09,59,51117,20835,0.71,469,11588,8442,769,93623,41368
